P1	Elphinstone Road --> Bandra
P9692	Byculla --> Chinchpokli
P9693	Sion --> Vidyavihar
P9694	Kalwa --> Parel
P9695	Chinchpokli --> Ghatkopar
P9696	Dadar --> Ghatkopar
P9697	Bhandup --> Dombivli
P9698	Byculla --> Kurla
P9699	Masjid --> Kalyan
P9700	Currey Road --> Bhandup
P9701	Ghatkopar --> Nahur
P9702	Kalyan --> Dombivli
P9703	Kalwa --> Kopar
P9704	Mumbra --> Bhandup
P9705	Ghatkopar --> Diva
P9706	Parel --> Bhandup
P9707	Chinchpokli --> Kalyan
P9708	Ghatkopar --> Kopar
P9709	Chhatrapati Shivaji Terminus --> Bhandup
P9710	Kalyan --> Nahur
P9711	Dadar --> Mulund
P9712	Parel --> Sandhurst Road
P9713	Matunga --> Diva
P9714	Nahur --> Thakurli
P9715	Mumbra --> Thane
P9716	Kanjurmarg --> Ghatkopar
P9717	Kalwa --> Thane
P9718	Thakurli --> Dadar
P9719	Currey Road --> Thane
P9720	Bhandup --> Masjid
P9721	Kopar --> Ghatkopar
P9722	Sion --> Sandhurst Road
P9723	Sion --> Byculla
P9724	Kalwa --> Diva
P9725	Chinchpokli --> Parel
P9726	Mulund --> Ghatkopar
P9727	Thane --> Dombivli
P9728	Mulund --> Kurla
P9729	Matunga --> Kanjurmarg
P9730	Dombivli --> Kopar
P9731	Bhandup --> Kanjurmarg
P9732	Dadar --> Vidyavihar
P9733	Kopar --> Sion
P9734	Matunga --> Sandhurst Road
P9735	Vidyavihar --> Nahur
P9736	Thane --> Ghatkopar
P9737	Vidyavihar --> Currey Road
P9738	Mulund --> Diva
P9739	Kopar --> Vikhroli
P9740	Thakurli --> Vidyavihar
P9741	Mumbra --> Masjid
P9742	Parel --> Mumbra
P9743	Thane --> Masjid
P9744	Diva --> Mumbra
P9745	Kopar --> Mumbra
P9746	Mulund --> Currey Road
P9747	Sion --> Masjid
P9748	Kopar --> Kanjurmarg
P9749	Nahur --> Matunga
P9750	Kanjurmarg --> Ghatkopar
P9751	Diva --> Matunga
P9752	Mulund --> Sion
P9753	Chinchpokli --> Kalwa
P9754	Dombivli --> Parel
P9755	Kurla --> Dombivli
P9756	Dombivli --> Diva
P9757	Matunga --> Diva
P9758	Parel --> Vidyavihar
P9759	Thakurli --> Currey Road
P9760	Ghatkopar --> Dombivli
P9761	Currey Road --> Kalyan
P9762	Nahur --> Parel
P9763	Masjid --> Nahur
P9764	Matunga --> Sandhurst Road
P9765	Kanjurmarg --> Kalwa
P9766	Chinchpokli --> Thakurli
P9767	Mumbra --> Kalyan
P9768	Mulund --> Parel
P9769	Matunga --> Thakurli
P9770	Vikhroli --> Masjid
P9771	Thane --> Vidyavihar
P9772	Vidyavihar --> Byculla
P9773	Parel --> Diva
P9774	Kopar --> Thane
P9775	Kalwa --> Currey Road
P9776	Nahur --> Masjid
P9777	Ghatkopar --> Kalyan
P9778	Kalwa --> Diva
P9779	Dombivli --> Thakurli
P9780	Matunga --> Kurla
P9781	Byculla --> Sandhurst Road
P9782	Kanjurmarg --> Bhandup
P9783	Kurla --> Parel
P9784	Sandhurst Road --> Chinchpokli
P9785	Kurla --> Masjid
P9786	Thane --> Kanjurmarg
P9787	Kalwa --> Kopar
P9788	Masjid --> Mumbra
P9789	Chhatrapati Shivaji Terminus --> Kurla
P9790	Dadar --> Currey Road
P9791	Vikhroli --> Ghatkopar
P9792	Parel --> Mulund
P9793	Dombivli --> Currey Road
P9794	Ghatkopar --> Mumbra
P9795	Nahur --> Kalwa
P9796	Mumbra --> Ghatkopar
P9797	Vikhroli --> Chhatrapati Shivaji Terminus
P9798	Ghatkopar --> Chhatrapati Shivaji Terminus
P9799	Parel --> Matunga
P9800	Matunga --> Kalwa
P9801	Vikhroli --> Kopar
P9802	Nahur --> Kalyan
P9803	Bhandup --> Vikhroli
P9804	Dadar --> Dombivli
P9805	Chinchpokli --> Mumbra
P9806	Mulund --> Currey Road
P9807	Diva --> Kurla
P9808	Chhatrapati Shivaji Terminus --> Sandhurst Road
P9809	Vidyavihar --> Byculla
P9810	Nahur --> Mumbra
P9811	Ghatkopar --> Vikhroli
P9812	Matunga --> Parel
P9813	Kurla --> Sion
P9814	Chinchpokli --> Byculla
P9815	Vidyavihar --> Diva
P9816	Chinchpokli --> Kopar
P9817	Matunga --> Dadar
P9818	Thakurli --> Mumbra
P9819	Masjid --> Mumbra
P9820	Sandhurst Road --> Thane
P9821	Kopar --> Kalwa
P9822	Thakurli --> Kopar
P9823	Matunga --> Diva
P9824	Ghatkopar --> Byculla
P9825	Nahur --> Mulund
P9826	Mulund --> Byculla
P9827	Kurla --> Currey Road
P9828	Kopar --> Chhatrapati Shivaji Terminus
P9829	Thane --> Mulund
P9830	Chhatrapati Shivaji Terminus --> Currey Road
P9831	Ghatkopar --> Dombivli
P9832	Dadar --> Vidyavihar
P9833	Currey Road --> Vidyavihar
P9834	Vikhroli --> Chinchpokli
P9835	Parel --> Kanjurmarg
P9836	Kanjurmarg --> Bhandup
P9837	Kalyan --> Dadar
P9838	Kalwa --> Parel
P9839	Kalwa --> Kanjurmarg
P9840	Vikhroli --> Mulund
P9841	Chhatrapati Shivaji Terminus --> Vidyavihar
P9842	Currey Road --> Thakurli
P9843	Kanjurmarg --> Diva
P9844	Kopar --> Diva
P9845	Kalwa --> Nahur
P9846	Kalwa --> Thakurli
P9847	Byculla --> Sion
P9848	Vidyavihar --> Currey Road
P9849	Mumbra --> Chhatrapati Shivaji Terminus
P9850	Ghatkopar --> Thakurli
P9851	Byculla --> Vidyavihar
P9852	Vidyavihar --> Nahur
P9853	Currey Road --> Bhandup
P9854	Ghatkopar --> Diva
P9855	Thakurli --> Chinchpokli
P9856	Kopar --> Nahur
P9857	Mulund --> Sion
P9858	Mumbra --> Thane
P9859	Mulund --> Nahur
P9860	Bhandup --> Thane
P9861	Diva --> Parel
P9862	Dadar --> Kalyan
P9863	Kopar --> Kalyan
P9864	Diva --> Currey Road
P9865	Dombivli --> Mulund
P9866	Dadar --> Chinchpokli
P9867	Diva --> Byculla
P9868	Kopar --> Bhandup
P9869	Currey Road --> Vikhroli
P9870	Currey Road --> Kanjurmarg
P9871	Mumbra --> Kopar
P9872	Dadar --> Chinchpokli
P9873	Kalwa --> Matunga
P9874	Dombivli --> Bhandup
P9875	Dadar --> Kopar
P9876	Sion --> Chinchpokli
P9877	Chhatrapati Shivaji Terminus --> Vidyavihar
P9878	Matunga --> Mumbra
P9879	Sion --> Vidyavihar
P9880	Sion --> Nahur
P9881	Mumbra --> Sandhurst Road
P9882	Mulund --> Thane
P9883	Sion --> Diva
P9884	Parel --> Vikhroli
P9885	Kopar --> Parel
P9886	Currey Road --> Kanjurmarg
P9887	Matunga --> Currey Road
P9888	Kanjurmarg --> Thakurli
P9889	Thane --> Matunga
P9890	Mulund --> Mumbra
P9891	Bhandup --> Dadar
P9892	Dadar --> Thane
P9893	Kurla --> Sandhurst Road
P9894	Bhandup --> Chinchpokli
P9895	Sandhurst Road --> Diva
P9896	Vikhroli --> Sion
P9897	Thane --> Sandhurst Road
P9898	Kalyan --> Diva
P9899	Diva --> Kopar
P9900	Kalyan --> Kopar
P9901	Kurla --> Kanjurmarg
P9902	Diva --> Kalyan
P9903	Vidyavihar --> Vikhroli
P9904	Vidyavihar --> Chinchpokli
P9905	Mulund --> Nahur
P9906	Byculla --> Chhatrapati Shivaji Terminus
P9907	Nahur --> Kalyan
P9908	Mumbra --> Thane
P9909	Sandhurst Road --> Nahur
P9910	Kalwa --> Dadar
P9911	Dadar --> Bhandup
P9912	Vikhroli --> Byculla
P9913	Vikhroli --> Ghatkopar
P9914	Thakurli --> Mulund
P9915	Nahur --> Kurla
P9916	Mulund --> Mumbra
P9917	Kurla --> Masjid
P9918	Kanjurmarg --> Chinchpokli
P9919	Currey Road --> Vikhroli
P9920	Chinchpokli --> Kanjurmarg
P9921	Mulund --> Dadar
P9922	Byculla --> Dadar
P9923	Thakurli --> Byculla
P9924	Kanjurmarg --> Thane
P9925	Sion --> Vikhroli
P9926	Bhandup --> Kalwa
P9927	Kanjurmarg --> Kopar
P9928	Currey Road --> Mumbra
P9929	Currey Road --> Sion
P9930	Matunga --> Currey Road
P9931	Kurla --> Vidyavihar
P9932	Kalyan --> Dadar
P9933	Currey Road --> Diva
P9934	Nahur --> Byculla
P9935	Byculla --> Kalyan
P9936	Ghatkopar --> Kalyan
P9937	Mulund --> Diva
P9938	Chinchpokli --> Mumbra
P9939	Matunga --> Kalwa
P9940	Diva --> Vikhroli
P9941	Vikhroli --> Chhatrapati Shivaji Terminus
P9942	Masjid --> Matunga
P9943	Parel --> Kurla
P9944	Matunga --> Dadar
P9945	Chhatrapati Shivaji Terminus --> Chinchpokli
P9946	Sandhurst Road --> Nahur
P9947	Chhatrapati Shivaji Terminus --> Masjid
P9948	Masjid --> Mulund
P9949	Diva --> Matunga
P9950	Kanjurmarg --> Sandhurst Road
P9951	Mulund --> Mumbra
P9952	Kanjurmarg --> Nahur
P9953	Sandhurst Road --> Dombivli
P9954	Kalwa --> Sion
P9955	Ghatkopar --> Parel
P9956	Chhatrapati Shivaji Terminus --> Matunga
P9957	Matunga --> Currey Road
P9958	Byculla --> Bhandup
P9959	Sion --> Kanjurmarg
P9960	Currey Road --> Dadar
P9961	Matunga --> Kanjurmarg
P9962	Parel --> Chhatrapati Shivaji Terminus
P9963	Byculla --> Thane
P9964	Kalyan --> Dadar
P9965	Vikhroli --> Currey Road
P9966	Bhandup --> Masjid
P9967	Kurla --> Chinchpokli
P9968	Thane --> Sandhurst Road
P9969	Thakurli --> Currey Road
P9970	Byculla --> Chinchpokli
P9971	Diva --> Sandhurst Road
P9972	Dadar --> Mumbra
P9973	Byculla --> Parel
P9974	Sion --> Vikhroli
P9975	Vidyavihar --> Sandhurst Road
P9976	Vikhroli --> Sandhurst Road
P9977	Matunga --> Kalyan
P9978	Vikhroli --> Nahur
P9979	Chinchpokli --> Thakurli
P9980	Chhatrapati Shivaji Terminus --> Thakurli
P9981	Nahur --> Kalyan
P9982	Kanjurmarg --> Kopar
P9983	Nahur --> Mumbra
P9984	Matunga --> Mulund
P9985	Mumbra --> Kalyan
P9986	Mumbra --> Thane
P9987	Kurla --> Matunga
P9988	Kalwa --> Chinchpokli
P9989	Sandhurst Road --> Vikhroli
P9990	Thane --> Kalwa
P9991	Kurla --> Bhandup
P9992	Ghatkopar --> Chhatrapati Shivaji Terminus
P9993	Thakurli --> Nahur
P9994	Dadar --> Vikhroli
P9995	Chhatrapati Shivaji Terminus --> Masjid
P9996	Masjid --> Kanjurmarg
P9997	Matunga --> Byculla
P9998	Mumbra --> Masjid
P9999	Kopar --> Bhandup
P10000	Thakurli --> Kopar
P10001	Chembur --> Kurla
P10002	Mankhurd --> Juinagar
P10003	Tilak Nagar --> Mansarovar
P10004	CBD Belapur --> Wadala Road
P10005	Chhatrapati Shivaji Terminus --> Vashi
P10006	Khandeshwar --> Sandhurst Road
P10007	Dockyard Road --> Panvel
P10008	Reay Road --> Wadala Road
P10009	Mankhurd --> Sandhurst Road
P10010	Sewri --> Mansarovar
P10011	Cotton Green --> Dockyard Road
P10012	Mansarovar --> Khandeshwar
P10013	Kharghar --> Sanpada
P10014	CBD Belapur --> Sewri
P10015	Vashi --> Sewri
P10016	Cotton Green --> Sandhurst Road
P10017	Nerul --> Dockyard Road
P10018	Mansarovar --> Khandeshwar
P10019	Khandeshwar --> Guru Tegh Bahadur Nagar
P10020	Sanpada --> Panvel
P10021	Chunabhatti --> CBD Belapur
P10022	Khandeshwar --> Panvel
P10023	Reay Road --> Seawoods-Darave
P10024	Mankhurd --> Wadala Road
P10025	Wadala Road --> Panvel
P10026	Reay Road --> Guru Tegh Bahadur Nagar
P10027	Khandeshwar --> Govandi
P10028	Chhatrapati Shivaji Terminus --> Sandhurst Road
P10029	Khandeshwar --> Kharghar
P10030	Reay Road --> Govandi
P10031	Wadala Road --> Vashi
P10032	Wadala Road --> Govandi
P10033	Chembur --> Seawoods-Darave
P10034	Sandhurst Road --> Sewri
P10035	Chhatrapati Shivaji Terminus --> CBD Belapur
P10036	Chembur --> Dockyard Road
P10037	Mansarovar --> Tilak Nagar
P10038	Chunabhatti --> Kharghar
P10039	Khandeshwar --> Dockyard Road
P10040	Vashi --> Govandi
P10041	Mankhurd --> Guru Tegh Bahadur Nagar
P10042	Sanpada --> Kharghar
P10043	Kurla --> Chunabhatti
P10044	Khandeshwar --> Sanpada
P10045	Mansarovar --> Seawoods-Darave
P10046	Wadala Road --> Sanpada
P10047	Tilak Nagar --> Chhatrapati Shivaji Terminus
P10048	Juinagar --> Sewri
P10049	Wadala Road --> Govandi
P10050	Mankhurd --> Seawoods-Darave
P10051	Guru Tegh Bahadur Nagar --> Chunabhatti
P10052	Mansarovar --> Tilak Nagar
P10053	Vashi --> Govandi
P10054	Mankhurd --> Vashi
P10055	Juinagar --> Govandi
P10056	Sanpada --> Govandi
P10057	Guru Tegh Bahadur Nagar --> Mansarovar
P10058	Chembur --> Cotton Green
P10059	Chunabhatti --> Sewri
P10060	Cotton Green --> Nerul
P10061	Wadala Road --> Kharghar
P10062	Sewri --> CBD Belapur
P10063	Cotton Green --> Dockyard Road
P10064	Dockyard Road --> Sewri
P10065	Dockyard Road --> Chhatrapati Shivaji Terminus
P10066	Seawoods-Darave --> Chembur
P10067	Dockyard Road --> Mansarovar
P10068	Khandeshwar --> Mansarovar
P10069	Nerul --> Mankhurd
P10070	Chunabhatti --> Sandhurst Road
P10071	Kurla --> Seawoods-Darave
P10072	Seawoods-Darave --> Govandi
P10073	Panvel --> Wadala Road
P10074	Chunabhatti --> Sanpada
P10075	Panvel --> Nerul
P10076	Guru Tegh Bahadur Nagar --> Reay Road
P10077	Vashi --> Wadala Road
P10078	Chembur --> Sewri
P10079	Kurla --> Seawoods-Darave
P10080	Kharghar --> Chunabhatti
P10081	Mankhurd --> Juinagar
P10082	Panvel --> Dockyard Road
P10083	Chhatrapati Shivaji Terminus --> CBD Belapur
P10084	CBD Belapur --> Kharghar
P10085	Mansarovar --> Sandhurst Road
P10086	Tilak Nagar --> Nerul
P10087	Mansarovar --> Kurla
P10088	Chhatrapati Shivaji Terminus --> Tilak Nagar
P10089	Chunabhatti --> Sandhurst Road
P10090	Juinagar --> CBD Belapur
P10091	Kharghar --> Vashi
P10092	Sandhurst Road --> Wadala Road
P10093	Cotton Green --> Chhatrapati Shivaji Terminus
P10094	Panvel --> Tilak Nagar
P10095	Sandhurst Road --> Nerul
P10096	Khandeshwar --> Panvel
P10097	Vashi --> CBD Belapur
P10098	Tilak Nagar --> Sandhurst Road
P10099	Sewri --> CBD Belapur
P10100	Seawoods-Darave --> Panvel
P10101	Sanpada --> Vashi
P10102	Tilak Nagar --> Sanpada
P10103	Nerul --> Wadala Road
P10104	Chunabhatti --> Panvel
P10105	Seawoods-Darave --> Chunabhatti
P10106	Vashi --> Seawoods-Darave
P10107	Chunabhatti --> Vashi
P10108	Vashi --> Wadala Road
P10109	Reay Road --> Kharghar
P10110	Kharghar --> Wadala Road
P10111	Cotton Green --> Nerul
P10112	Sandhurst Road --> Govandi
P10113	Sewri --> Vashi
P10114	CBD Belapur --> Juinagar
P10115	Khandeshwar --> Sandhurst Road
P10116	Cotton Green --> Vashi
P10117	Govandi --> Guru Tegh Bahadur Nagar
P10118	Panvel --> Wadala Road
P10119	Mankhurd --> Tilak Nagar
P10120	Sanpada --> Nerul
P10121	Panvel --> Nerul
P10122	Sandhurst Road --> Sewri
P10123	Dockyard Road --> Chunabhatti
P10124	Khandeshwar --> Vashi
P10125	Govandi --> Panvel
P10126	Guru Tegh Bahadur Nagar --> Vashi
P10127	CBD Belapur --> Kurla
P10128	Sandhurst Road --> Nerul
P10129	Sewri --> CBD Belapur
P10130	Reay Road --> Sanpada
P10131	Guru Tegh Bahadur Nagar --> Wadala Road
P10132	Govandi --> Sewri
P10133	Mankhurd --> Kharghar
P10134	Vashi --> Sewri
P10135	Reay Road --> Khandeshwar
P10136	Sanpada --> CBD Belapur
P10137	Tilak Nagar --> Chhatrapati Shivaji Terminus
P10138	Sandhurst Road --> Sanpada
P10139	Dockyard Road --> Tilak Nagar
P10140	Govandi --> Panvel
P10141	Mankhurd --> Tilak Nagar
P10142	Wadala Road --> Cotton Green
P10143	Tilak Nagar --> Kharghar
P10144	Khandeshwar --> Reay Road
P10145	Wadala Road --> Mansarovar
P10146	Mansarovar --> Seawoods-Darave
P10147	Wadala Road --> Sewri
P10148	Mankhurd --> Kharghar
P10149	Kharghar --> Mankhurd
P10150	CBD Belapur --> Govandi
P10151	Kurla --> Kharghar
P10152	Guru Tegh Bahadur Nagar --> Tilak Nagar
P10153	Chunabhatti --> Juinagar
P10154	CBD Belapur --> Chembur
P10155	Chhatrapati Shivaji Terminus --> Kharghar
P10156	Kurla --> Govandi
P10157	Sandhurst Road --> Vashi
P10158	Reay Road --> Dockyard Road
P10159	Seawoods-Darave --> Juinagar
P10160	Sandhurst Road --> Vashi
P10161	Nerul --> Khandeshwar
P10162	Mankhurd --> Cotton Green
P10163	Sewri --> Chembur
P10164	Mansarovar --> Mankhurd
P10165	Reay Road --> Chhatrapati Shivaji Terminus
P10166	Reay Road --> Juinagar
P10167	Govandi --> Juinagar
P10168	Tilak Nagar --> Panvel
P10169	Kharghar --> Sanpada
P10170	Cotton Green --> Sandhurst Road
P10171	Wadala Road --> Mansarovar
P10172	Chunabhatti --> Seawoods-Darave
P10173	Seawoods-Darave --> Panvel
P10174	Nerul --> Kharghar
P10175	Kurla --> Chembur
P10176	Dockyard Road --> Guru Tegh Bahadur Nagar
P10177	Chhatrapati Shivaji Terminus --> Wadala Road
P10178	Khandeshwar --> Cotton Green
P10179	Chhatrapati Shivaji Terminus --> Govandi
P10180	Cotton Green --> Tilak Nagar
P10181	Vashi --> Cotton Green
P10182	Sanpada --> Chembur
P10183	Mansarovar --> Mankhurd
P10184	Reay Road --> Guru Tegh Bahadur Nagar
P10185	Sandhurst Road --> Juinagar
P10186	CBD Belapur --> Chembur
P10187	Sanpada --> Chembur
P10188	Juinagar --> Mansarovar
P10189	Kurla --> Sanpada
P10190	Kharghar --> Wadala Road
P10191	Mansarovar --> Chhatrapati Shivaji Terminus
P10192	Mankhurd --> Kharghar
P10193	Mansarovar --> Wadala Road
P10194	Mankhurd --> Reay Road
P10195	Nerul --> Kharghar
P10196	Mansarovar --> Chhatrapati Shivaji Terminus
P10197	Chunabhatti --> Govandi
P10198	Tilak Nagar --> Seawoods-Darave
P10199	Khandeshwar --> Sewri
P10200	Chunabhatti --> Sewri
P10201	Sanpada --> CBD Belapur
P10202	Reay Road --> Kharghar
P10203	Dockyard Road --> Tilak Nagar
P10204	Govandi --> Tilak Nagar
P10205	Sandhurst Road --> Khandeshwar
P10206	Juinagar --> Mankhurd
P10207	Govandi --> Nerul
P10208	Sewri --> Juinagar
P10209	Mankhurd --> Tilak Nagar
P10210	Mankhurd --> Kharghar
P10211	Wadala Road --> Khandeshwar
P10212	Sewri --> Dockyard Road
P10213	Vashi --> Wadala Road
P10214	Chhatrapati Shivaji Terminus --> Guru Tegh Bahadur Nagar
P10215	Reay Road --> Mankhurd
P10216	Govandi --> Sewri
P10217	Dockyard Road --> Kharghar
P10218	Khandeshwar --> Tilak Nagar
P10219	Tilak Nagar --> Mankhurd
P10220	Chhatrapati Shivaji Terminus --> Vashi
P10221	Wadala Road --> Chhatrapati Shivaji Terminus
P10222	Kurla --> Khandeshwar
P10223	Kurla --> Kharghar
P10224	Vashi --> Juinagar
P10225	Reay Road --> Wadala Road
P10226	Cotton Green --> Chembur
P10227	Dockyard Road --> Guru Tegh Bahadur Nagar
P10228	Sanpada --> Mankhurd
P10229	Kharghar --> Mankhurd
P10230	Cotton Green --> Juinagar
P10231	Chhatrapati Shivaji Terminus --> Sandhurst Road
P10232	Reay Road --> Tilak Nagar
P10233	Sewri --> Chunabhatti
P10234	Juinagar --> Sanpada
P10235	Dockyard Road --> Chunabhatti
P10236	Nerul --> Mansarovar
P10237	Mansarovar --> Juinagar
P10238	Seawoods-Darave --> Kharghar
P10239	Sanpada --> Mankhurd
P10240	Kharghar --> Chunabhatti
P10241	Kharghar --> Sewri
P10242	Chhatrapati Shivaji Terminus --> Seawoods-Darave
P10243	Sanpada --> Sewri
P10244	CBD Belapur --> Juinagar
P10245	Nerul --> Reay Road
P10246	Sandhurst Road --> Nerul
P10247	Sewri --> Sandhurst Road
P10248	Guru Tegh Bahadur Nagar --> Nerul
P10249	Chhatrapati Shivaji Terminus --> Guru Tegh Bahadur Nagar
P10250	Tilak Nagar --> Reay Road
P10251	Sandhurst Road --> Cotton Green
P10252	Chunabhatti --> Reay Road
P10253	Kharghar --> Panvel
P10254	Reay Road --> Mansarovar
P10255	Dockyard Road --> Govandi
P10256	Vashi --> Reay Road
P10257	Tilak Nagar --> Mankhurd
P10258	Khandeshwar --> Nerul
P10259	Kurla --> Reay Road
P10260	CBD Belapur --> Sandhurst Road
P10261	Chembur --> Wadala Road
P10262	Mansarovar --> Reay Road
P10263	Mankhurd --> Chembur
P10264	Sanpada --> CBD Belapur
P10265	Sanpada --> Panvel
P10266	Tilak Nagar --> Vashi
P10267	Chunabhatti --> Vashi
P10268	Mansarovar --> Chhatrapati Shivaji Terminus
P10269	Seawoods-Darave --> Mankhurd
P10270	Sanpada --> Panvel
P10271	Tilak Nagar --> Guru Tegh Bahadur Nagar
P10272	Seawoods-Darave --> Mansarovar
P10273	Chunabhatti --> Guru Tegh Bahadur Nagar
P10274	Govandi --> Cotton Green
P10275	Dockyard Road --> Govandi
P10276	Guru Tegh Bahadur Nagar --> Nerul
P10277	Chembur --> Govandi
P10278	Govandi --> Tilak Nagar
P10279	CBD Belapur --> Govandi
P10280	Reay Road --> Sewri
P10281	Sanpada --> Guru Tegh Bahadur Nagar
P10282	Khandeshwar --> Sewri
P10283	Khandeshwar --> CBD Belapur
P10284	Sanpada --> Sewri
P10285	Sanpada --> Kurla
P10286	Mansarovar --> Chhatrapati Shivaji Terminus
P10287	Wadala Road --> Kurla
P10288	Dockyard Road --> Reay Road
P10289	Mankhurd --> Juinagar
P10290	Sanpada --> Panvel
P10291	Sandhurst Road --> Juinagar
P10292	Chunabhatti --> Sandhurst Road
P10293	Khandeshwar --> Reay Road
P10294	Chhatrapati Shivaji Terminus --> Chunabhatti
P10295	Guru Tegh Bahadur Nagar --> Panvel
P10296	Wadala Road --> Mankhurd
P10297	Seawoods-Darave --> Reay Road
P10298	Nerul --> Tilak Nagar
P10299	Guru Tegh Bahadur Nagar --> Panvel
P10300	Dockyard Road --> Wadala Road
P10301	Sanpada --> Dockyard Road
P10302	Mansarovar --> Kharghar
P10303	Cotton Green --> Guru Tegh Bahadur Nagar
P10304	Vashi --> Chhatrapati Shivaji Terminus
P10305	Govandi --> Sewri
P10306	Nerul --> Chhatrapati Shivaji Terminus
P10307	Sanpada --> Dockyard Road
P10308	Sandhurst Road --> Seawoods-Darave
P10309	Chunabhatti --> Chembur
P10310	Tilak Nagar --> Juinagar
P10311	Nerul --> Reay Road
P10312	CBD Belapur --> Govandi
P10313	Wadala Road --> Sewri
P10314	Dockyard Road --> Sandhurst Road
P10315	Cotton Green --> Panvel
P10316	Kharghar --> Kurla
P10317	Seawoods-Darave --> Mansarovar
P10318	Cotton Green --> Mansarovar
P10319	Mansarovar --> Guru Tegh Bahadur Nagar
P10320	Chunabhatti --> Govandi
P10321	Seawoods-Darave --> Nerul
P10322	Reay Road --> Tilak Nagar
P10323	Mankhurd --> Sewri
P10324	Kharghar --> Govandi
P10325	Vashi --> Khandeshwar
P10326	Wadala Road --> Khandeshwar
P10327	Juinagar --> Sanpada
P10328	Panvel --> Cotton Green
P10329	CBD Belapur --> Sandhurst Road
P10330	Chhatrapati Shivaji Terminus --> Vashi
P10331	Cotton Green --> Mansarovar
P10332	Vashi --> Wadala Road
P10333	Kurla --> Khandeshwar
P10334	Sewri --> Guru Tegh Bahadur Nagar
P10335	Juinagar --> Vashi
P10336	Tilak Nagar --> CBD Belapur
P10337	Khandeshwar --> Chembur
P10338	Kharghar --> Tilak Nagar
P10339	Mansarovar --> Juinagar
P10340	Juinagar --> Guru Tegh Bahadur Nagar
P10341	Kurla --> Mansarovar
P10342	Khandeshwar --> Panvel
P10343	CBD Belapur --> Govandi
P10344	Nerul --> Sanpada
P10345	Guru Tegh Bahadur Nagar --> Dockyard Road
P10346	Govandi --> Tilak Nagar
P10347	Juinagar --> Sewri
P10348	Chunabhatti --> Govandi
P10349	Kharghar --> Chunabhatti
P10350	Tilak Nagar --> Mansarovar
P10351	Dockyard Road --> Juinagar
P10352	Sandhurst Road --> Mansarovar
P10353	Sanpada --> Seawoods-Darave
P10354	Mankhurd --> Chunabhatti
P10355	Chhatrapati Shivaji Terminus --> Kharghar
P10356	Chembur --> Sanpada
P10357	Kurla --> Cotton Green
P10358	Mankhurd --> Chembur
P10359	Cotton Green --> Sandhurst Road
P10360	Wadala Road --> Vashi
P10361	Vashi --> Cotton Green
P10362	Reay Road --> Chunabhatti
P10363	Reay Road --> Seawoods-Darave
P10364	Sewri --> Dockyard Road
P10365	Kurla --> Nerul
P10366	Cotton Green --> Chembur
P10367	Seawoods-Darave --> Cotton Green
P10368	Cotton Green --> Mankhurd
P10369	CBD Belapur --> Reay Road
P10370	Reay Road --> Panvel
P10371	Cotton Green --> Tilak Nagar
P10372	Vashi --> Mansarovar
P10373	Seawoods-Darave --> Chhatrapati Shivaji Terminus
P10374	Vashi --> Nerul
P10375	Dockyard Road --> Sewri
P10376	Seawoods-Darave --> Sewri
P10377	Kurla --> Mansarovar
P10378	Chhatrapati Shivaji Terminus --> Juinagar
P10379	Dockyard Road --> Vashi
P10380	Mansarovar --> Mankhurd
P10381	Wadala Road --> Vashi
P10382	Seawoods-Darave --> Sanpada
P10383	Juinagar --> Sandhurst Road
P10384	Tilak Nagar --> Vashi
P10385	Tilak Nagar --> Govandi
P10386	Vashi --> Chembur
P10387	CBD Belapur --> Seawoods-Darave
P10388	Sandhurst Road --> CBD Belapur
P10389	Sewri --> Dockyard Road
P10390	Chunabhatti --> Guru Tegh Bahadur Nagar
P10391	CBD Belapur --> Cotton Green
P10392	CBD Belapur --> Seawoods-Darave
P10393	Mansarovar --> Nerul
P10394	Tilak Nagar --> Mansarovar
P10395	Dockyard Road --> Tilak Nagar
P10396	Reay Road --> Guru Tegh Bahadur Nagar
P10397	Kurla --> Chhatrapati Shivaji Terminus
P10398	Khandeshwar --> Vashi
P10399	Tilak Nagar --> Chunabhatti
P10400	Wadala Road --> Juinagar
P10401	Mankhurd --> Kurla
P10402	Khandeshwar --> Panvel
P10403	Sewri --> Vashi
P10404	Mansarovar --> Tilak Nagar
P10405	Cotton Green --> Nerul
P10406	Chembur --> Nerul
P10407	Chhatrapati Shivaji Terminus --> Mankhurd
P10408	Reay Road --> Mansarovar
P10409	Reay Road --> Juinagar
P10410	Chunabhatti --> Sandhurst Road
P10411	Juinagar --> CBD Belapur
P10412	Cotton Green --> Nerul
P10413	Kurla --> Chunabhatti
P10414	Kharghar --> Khandeshwar
P10415	Vashi --> Guru Tegh Bahadur Nagar
P10416	Panvel --> Chembur
P10417	Guru Tegh Bahadur Nagar --> Govandi
P10418	Sewri --> Juinagar
P10419	Chembur --> Nerul
P10420	Kharghar --> Chunabhatti
P10421	Sandhurst Road --> Cotton Green
P10422	Khandeshwar --> Nerul
P10423	CBD Belapur --> Cotton Green
P10424	Wadala Road --> Guru Tegh Bahadur Nagar
P10425	CBD Belapur --> Sewri
P10426	Sandhurst Road --> Mansarovar
P10427	Seawoods-Darave --> Kurla
P10428	Mansarovar --> Chembur
P10429	Vashi --> CBD Belapur
P10430	Dockyard Road --> Govandi
