P1	Borivali --> Churchgate
P1655	Chinchpokli --> Parel
P1656	Mulund --> Byculla
P1657	Kalwa --> Kalyan
P1658	Matunga --> Masjid
P1659	Chinchpokli --> Diva
P1660	Matunga --> Mumbra
P1661	Vikhroli --> Dombivli
P1662	Chhatrapati Shivaji Terminus --> Parel
P1663	Dombivli --> Mulund
P1664	Nahur --> Diva
P1665	Diva --> Dadar
P1666	Bhandup --> Parel
P1667	Masjid --> Byculla
P1668	Ghatkopar --> Sandhurst Road
P1669	Kalwa --> Dadar
P1670	Parel --> Vidyavihar
P1671	Kanjurmarg --> Kurla
P1672	Vikhroli --> Ghatkopar
P1673	Sandhurst Road --> Vikhroli
P1674	Sion --> Kalyan
P1675	Ghatkopar --> Mulund
P1676	Chinchpokli --> Mumbra
P1677	Kalwa --> Thakurli
P1678	Kalwa --> Thakurli
P1679	Chinchpokli --> Vidyavihar
P1680	Parel --> Kalyan
P1681	Thane --> Kalwa
P1682	Parel --> Sandhurst Road
P1683	Byculla --> Dombivli
P1684	Masjid --> Ghatkopar
P1685	Parel --> Mulund
P1686	Matunga --> Sandhurst Road
P1687	Diva --> Mulund
P1688	Chinchpokli --> Bhandup
P1689	Thane --> Dadar
P1690	Mumbra --> Kalyan
P1691	Mulund --> Thane
P1692	Thane --> Masjid
P1693	Chhatrapati Shivaji Terminus --> Thane
P1694	Nahur --> Matunga
P1695	Dombivli --> Kopar
P1696	Chinchpokli --> Sandhurst Road
P1697	Thane --> Kalyan
P1698	Dombivli --> Chinchpokli
P1699	Nahur --> Vidyavihar
P1700	Sion --> Dombivli
P1701	Thakurli --> Sion
P1702	Dadar --> Kalyan
P1703	Sion --> Chinchpokli
P1704	Sandhurst Road --> Currey Road
P1705	Vikhroli --> Vidyavihar
P1706	Thakurli --> Kopar
P1707	Vikhroli --> Byculla
P1708	Mulund --> Chhatrapati Shivaji Terminus
P1709	Mulund --> Byculla
P1710	Nahur --> Masjid
P1711	Kurla --> Chhatrapati Shivaji Terminus
P1712	Kalyan --> Mulund
P1713	Chinchpokli --> Mulund
P1714	Currey Road --> Vidyavihar
P1715	Kopar --> Thakurli
P1716	Vidyavihar --> Currey Road
P1717	Bhandup --> Chhatrapati Shivaji Terminus
P1718	Currey Road --> Mulund
P1719	Byculla --> Nahur
P1720	Ghatkopar --> Dombivli
P1721	Masjid --> Sion
P1722	Byculla --> Thakurli
P1723	Dombivli --> Kopar
P1724	Chinchpokli --> Masjid
P1725	Masjid --> Kalwa
P1726	Dadar --> Chinchpokli
P1727	Sion --> Bhandup
P1728	Diva --> Masjid
P1729	Kurla --> Sandhurst Road
P1730	Sion --> Parel
P1731	Kanjurmarg --> Dombivli
P1732	Parel --> Chhatrapati Shivaji Terminus
P1733	Ghatkopar --> Masjid
P1734	Sandhurst Road --> Sion
P1735	Mumbra --> Parel
P1736	Thakurli --> Vidyavihar
P1737	Kalyan --> Mumbra
P1738	Parel --> Kanjurmarg
P1739	Bhandup --> Vidyavihar
P1740	Mulund --> Masjid
P1741	Vikhroli --> Thakurli
P1742	Parel --> Thakurli
P1743	Nahur --> Byculla
P1744	Vikhroli --> Dadar
P1745	Masjid --> Kurla
P1746	Chinchpokli --> Parel
P1747	Parel --> Kalyan
P1748	Dombivli --> Thakurli
P1749	Matunga --> Byculla
P1750	Mulund --> Kurla
P1751	Vidyavihar --> Chinchpokli
P1752	Kopar --> Sandhurst Road
P1753	Sandhurst Road --> Sion
P1754	Byculla --> Mulund
P1755	Nahur --> Mumbra
P1756	Kurla --> Chinchpokli
P1757	Byculla --> Mulund
P1758	Masjid --> Bhandup
P1759	Kanjurmarg --> Byculla
P1760	Byculla --> Nahur
P1761	Currey Road --> Chhatrapati Shivaji Terminus
P1762	Diva --> Kalwa
P1763	Dadar --> Vikhroli
P1764	Thakurli --> Vikhroli
P1765	Kanjurmarg --> Vikhroli
P1766	Kalwa --> Sandhurst Road
P1767	Chhatrapati Shivaji Terminus --> Matunga
P1768	Currey Road --> Sion
P1769	Diva --> Kopar
P1770	Sandhurst Road --> Diva
P1771	Kopar --> Thakurli
P1772	Sion --> Kurla
P1773	Byculla --> Kalwa
P1774	Matunga --> Ghatkopar
P1775	Currey Road --> Ghatkopar
P1776	Masjid --> Sion
P1777	Mumbra --> Parel
P1778	Vikhroli --> Currey Road
P1779	Byculla --> Vikhroli
P1780	Chinchpokli --> Matunga
P1781	Sandhurst Road --> Mulund
P1782	Matunga --> Kalyan
P1783	Chhatrapati Shivaji Terminus --> Chinchpokli
P1784	Vidyavihar --> Kanjurmarg
P1785	Kalwa --> Chinchpokli
P1786	Vidyavihar --> Mulund
P1787	Ghatkopar --> Bhandup
P1788	Mulund --> Diva
P1789	Currey Road --> Mulund
P1790	Kopar --> Mumbra
P1791	Kopar --> Parel
P1792	Chhatrapati Shivaji Terminus --> Kalwa
P1793	Nahur --> Chinchpokli
P1794	Thane --> Kalyan
P1795	Currey Road --> Kalyan
P1796	Dadar --> Chhatrapati Shivaji Terminus
P1797	Kalyan --> Chhatrapati Shivaji Terminus
P1798	Byculla --> Masjid
P1799	Diva --> Kalyan
P1800	Masjid --> Matunga
P1801	Dadar --> Nahur
P1802	Byculla --> Mulund
P1803	Parel --> Dadar
P1804	Matunga --> Dadar
P1805	Matunga --> Vikhroli
P1806	Masjid --> Nahur
P1807	Parel --> Matunga
P1808	Kalyan --> Dombivli
P1809	Chhatrapati Shivaji Terminus --> Matunga
P1810	Chinchpokli --> Thakurli
P1811	Parel --> Currey Road
P1812	Thakurli --> Kalyan
P1813	Bhandup --> Kurla
P1814	Sion --> Masjid
P1815	Dombivli --> Vidyavihar
P1816	Mumbra --> Ghatkopar
P1817	Kurla --> Masjid
P1818	Ghatkopar --> Dadar
P1819	Thakurli --> Thane
P1820	Matunga --> Masjid
P1821	Kopar --> Kalyan
P1822	Chinchpokli --> Kurla
P1823	Dombivli --> Nahur
P1824	Vidyavihar --> Kopar
P1825	Dombivli --> Ghatkopar
P1826	Kanjurmarg --> Mulund
P1827	Parel --> Vikhroli
P1828	Thakurli --> Bhandup
P1829	Chhatrapati Shivaji Terminus --> Kanjurmarg
P1830	Kurla --> Mumbra
P1831	Masjid --> Kalwa
P1832	Mumbra --> Masjid
P1833	Kalyan --> Chhatrapati Shivaji Terminus
P1834	Kalyan --> Chhatrapati Shivaji Terminus
P1835	Ghatkopar --> Kopar
P1836	Ghatkopar --> Nahur
P1837	Mulund --> Mumbra
P1838	Dombivli --> Kurla
P1839	Chhatrapati Shivaji Terminus --> Kurla
P1840	Dadar --> Kanjurmarg
P1841	Kanjurmarg --> Kopar
P1842	Sandhurst Road --> Mumbra
P1843	Kopar --> Bhandup
P1844	Chinchpokli --> Vidyavihar
P1845	Byculla --> Sandhurst Road
P1846	Bhandup --> Kalwa
P1847	Diva --> Kurla
P1848	Sandhurst Road --> Sion
P1849	Vidyavihar --> Thakurli
P1850	Kopar --> Nahur
P1851	Kalyan --> Sion
P1852	Diva --> Parel
P1853	Chinchpokli --> Masjid
P1854	Vikhroli --> Sion
P1855	Vikhroli --> Nahur
P1856	Nahur --> Kalyan
P1857	Diva --> Vidyavihar
P1858	Kalyan --> Vikhroli
P1859	Thane --> Matunga
P1860	Kanjurmarg --> Currey Road
P1861	Mulund --> Vikhroli
P1862	Ghatkopar --> Kalwa
P1863	Dombivli --> Chinchpokli
P1864	Sion --> Chinchpokli
P1865	Dadar --> Sion
P1866	Dombivli --> Dadar
P1867	Kalyan --> Sion
P1868	Parel --> Kalyan
P1869	Bhandup --> Currey Road
P1870	Dombivli --> Diva
P1871	Kurla --> Chinchpokli
P1872	Kanjurmarg --> Matunga
P1873	Nahur --> Sandhurst Road
P1874	Nahur --> Parel
P1875	Vidyavihar --> Matunga
P1876	Nahur --> Kalyan
P1877	Thane --> Vikhroli
P1878	Kanjurmarg --> Byculla
P1879	Dombivli --> Dadar
P1880	Vidyavihar --> Kanjurmarg
P1881	Nahur --> Thane
P1882	Sandhurst Road --> Kopar
P1883	Parel --> Chinchpokli
P1884	Chinchpokli --> Masjid
P1885	Parel --> Sandhurst Road
P1886	Kanjurmarg --> Parel
P1887	Thane --> Kurla
P1888	Nahur --> Masjid
P1889	Byculla --> Sion
P1890	Parel --> Sion
P1891	Kurla --> Currey Road
P1892	Vikhroli --> Mulund
P1893	Dombivli --> Chinchpokli
P1894	Masjid --> Dombivli
P1895	Byculla --> Thakurli
P1896	Vikhroli --> Kurla
P1897	Vidyavihar --> Mumbra
P1898	Currey Road --> Nahur
P1899	Byculla --> Sandhurst Road
P1900	Sandhurst Road --> Thakurli
P1901	Dadar --> Mumbra
P1902	Sandhurst Road --> Sion
P1903	Thakurli --> Chhatrapati Shivaji Terminus
P1904	Kalyan --> Sion
P1905	Masjid --> Nahur
P1906	Bhandup --> Kalwa
P1907	Chinchpokli --> Nahur
P1908	Kalyan --> Diva
P1909	Ghatkopar --> Thane
P1910	Kurla --> Chhatrapati Shivaji Terminus
P1911	Masjid --> Kalyan
P1912	Kalwa --> Dadar
P1913	Diva --> Parel
P1914	Dombivli --> Kalyan
P1915	Dombivli --> Chhatrapati Shivaji Terminus
P1916	Ghatkopar --> Chinchpokli
P1917	Mulund --> Parel
P1918	Kurla --> Masjid
P1919	Vidyavihar --> Sandhurst Road
P1920	Matunga --> Diva
P1921	Dombivli --> Chhatrapati Shivaji Terminus
P1922	Vidyavihar --> Bhandup
P1923	Vikhroli --> Chinchpokli
P1924	Thane --> Dombivli
P1925	Kalyan --> Thakurli
P1926	Vikhroli --> Mumbra
P1927	Sion --> Mumbra
P1928	Currey Road --> Dadar
P1929	Currey Road --> Sandhurst Road
P1930	Byculla --> Mulund
P1931	Masjid --> Kopar
P1932	Sion --> Thakurli
P1933	Ghatkopar --> Dombivli
P1934	Mumbra --> Masjid
P1935	Sandhurst Road --> Sion
P1936	Chhatrapati Shivaji Terminus --> Masjid
P1937	Chinchpokli --> Dombivli
P1938	Bhandup --> Byculla
P1939	Parel --> Chinchpokli
P1940	Ghatkopar --> Vikhroli
P1941	Thakurli --> Nahur
P1942	Thakurli --> Vidyavihar
P1943	Thane --> Byculla
P1944	Bhandup --> Thakurli
P1945	Sion --> Parel
P1946	Masjid --> Bhandup
P1947	Parel --> Byculla
P1948	Kalyan --> Ghatkopar
P1949	Dadar --> Currey Road
P1950	Kurla --> Mulund
P1951	Byculla --> Bhandup
P1952	Byculla --> Kurla
P1953	Kalyan --> Kurla
P1954	Vidyavihar --> Currey Road
P1955	Kalyan --> Mulund
P1956	Thakurli --> Dombivli
P1957	Dadar --> Sion
P1958	Mumbra --> Currey Road
P1959	Sandhurst Road --> Thane
P1960	Vidyavihar --> Chinchpokli
P1961	Nahur --> Chhatrapati Shivaji Terminus
P1962	Chhatrapati Shivaji Terminus --> Matunga
P1963	Currey Road --> Kurla
P1964	Chhatrapati Shivaji Terminus --> Kanjurmarg
P1965	Parel --> Vikhroli
P1966	Kalyan --> Chhatrapati Shivaji Terminus
P1967	Mumbra --> Vikhroli
P1968	Kalyan --> Matunga
P1969	Sandhurst Road --> Dombivli
P1970	Mulund --> Vidyavihar
P1971	Vikhroli --> Diva
P1972	Kalyan --> Nahur
P1973	Chinchpokli --> Parel
P1974	Vidyavihar --> Dadar
P1975	Sandhurst Road --> Vikhroli
P1976	Thakurli --> Nahur
P1977	Thakurli --> Kurla
P1978	Kopar --> Nahur
P1979	Bhandup --> Chhatrapati Shivaji Terminus
P1980	Matunga --> Vikhroli
P1981	Kopar --> Kanjurmarg
P1982	Chhatrapati Shivaji Terminus --> Chinchpokli
P1983	Chhatrapati Shivaji Terminus --> Diva
P1984	Diva --> Matunga
P1985	Currey Road --> Parel
P1986	Dadar --> Matunga
P1987	Mulund --> Vidyavihar
P1988	Kurla --> Byculla
P1989	Mulund --> Sandhurst Road
P1990	Diva --> Currey Road
P1991	Chhatrapati Shivaji Terminus --> Kalyan
P1992	Kalwa --> Vikhroli
P1993	Chinchpokli --> Dadar
P1994	Matunga --> Chhatrapati Shivaji Terminus
P1995	Parel --> Nahur
P1996	Thakurli --> Thane
P1997	Chhatrapati Shivaji Terminus --> Matunga
P1998	Kanjurmarg --> Sandhurst Road
P1999	Matunga --> Mumbra
P2000	Kopar --> Sion
P2001	Chembur --> Sandhurst Road
P2002	Wadala Road --> Mansarovar
P2003	Chembur --> CBD Belapur
P2004	Tilak Nagar --> Juinagar
P2005	Mansarovar --> Vashi
P2006	Sandhurst Road --> Kharghar
P2007	Sandhurst Road --> Seawoods-Darave
P2008	Mansarovar --> Juinagar
P2009	Chembur --> Vashi
P2010	Chembur --> Chunabhatti
P2011	Cotton Green --> Juinagar
P2012	Mansarovar --> Nerul
P2013	Sandhurst Road --> Guru Tegh Bahadur Nagar
P2014	Chembur --> CBD Belapur
P2015	Kharghar --> Vashi
P2016	Cotton Green --> Chembur
P2017	Chunabhatti --> Wadala Road
P2018	Khandeshwar --> Govandi
P2019	Chembur --> Sanpada
P2020	Mansarovar --> Seawoods-Darave
P2021	Cotton Green --> Seawoods-Darave
P2022	Chunabhatti --> CBD Belapur
P2023	Reay Road --> Sewri
P2024	Guru Tegh Bahadur Nagar --> Kurla
P2025	Juinagar --> Govandi
P2026	Kurla --> Chhatrapati Shivaji Terminus
P2027	CBD Belapur --> Chhatrapati Shivaji Terminus
P2028	Tilak Nagar --> Kurla
P2029	Tilak Nagar --> Sanpada
P2030	Nerul --> Sandhurst Road
P2031	Seawoods-Darave --> Kurla
P2032	Panvel --> Nerul
P2033	Sewri --> Seawoods-Darave
P2034	Reay Road --> Seawoods-Darave
P2035	Tilak Nagar --> Chhatrapati Shivaji Terminus
P2036	Chembur --> Govandi
P2037	Dockyard Road --> CBD Belapur
P2038	Mansarovar --> Cotton Green
P2039	Mankhurd --> Chembur
P2040	Cotton Green --> Juinagar
P2041	Mansarovar --> CBD Belapur
P2042	Wadala Road --> Juinagar
P2043	Reay Road --> Nerul
P2044	Tilak Nagar --> Chembur
P2045	Vashi --> Khandeshwar
P2046	Panvel --> CBD Belapur
P2047	Seawoods-Darave --> Juinagar
P2048	Sanpada --> Wadala Road
P2049	Govandi --> Sandhurst Road
P2050	Govandi --> Cotton Green
P2051	Sanpada --> Govandi
P2052	CBD Belapur --> Cotton Green
P2053	Mansarovar --> Cotton Green
P2054	Kharghar --> Nerul
P2055	Chhatrapati Shivaji Terminus --> Nerul
P2056	Panvel --> Chunabhatti
P2057	Chunabhatti --> Mansarovar
P2058	Chhatrapati Shivaji Terminus --> Mansarovar
P2059	CBD Belapur --> Cotton Green
P2060	Vashi --> Juinagar
P2061	Tilak Nagar --> Panvel
P2062	Chunabhatti --> Sandhurst Road
P2063	Juinagar --> Guru Tegh Bahadur Nagar
P2064	Dockyard Road --> Kurla
P2065	Sanpada --> Chhatrapati Shivaji Terminus
P2066	Mansarovar --> Panvel
P2067	Mankhurd --> Kharghar
P2068	Govandi --> Chembur
P2069	Cotton Green --> Chhatrapati Shivaji Terminus
P2070	Juinagar --> Panvel
P2071	Tilak Nagar --> Guru Tegh Bahadur Nagar
P2072	Sandhurst Road --> Nerul
P2073	Khandeshwar --> Seawoods-Darave
P2074	Kurla --> Chhatrapati Shivaji Terminus
P2075	Mansarovar --> Panvel
P2076	Chunabhatti --> Sanpada
P2077	Panvel --> Chunabhatti
P2078	Dockyard Road --> Govandi
P2079	Mankhurd --> Chunabhatti
P2080	Sandhurst Road --> Chembur
P2081	Tilak Nagar --> Chhatrapati Shivaji Terminus
P2082	Sandhurst Road --> Seawoods-Darave
P2083	Khandeshwar --> Reay Road
P2084	Sewri --> Chembur
P2085	Khandeshwar --> Guru Tegh Bahadur Nagar
P2086	Kurla --> Cotton Green
P2087	Khandeshwar --> Tilak Nagar
P2088	Nerul --> Kharghar
P2089	Sewri --> Dockyard Road
P2090	Juinagar --> Cotton Green
P2091	Vashi --> Nerul
P2092	Wadala Road --> Panvel
P2093	Guru Tegh Bahadur Nagar --> Govandi
P2094	Sandhurst Road --> Chunabhatti
P2095	Tilak Nagar --> Vashi
P2096	Kharghar --> Panvel
P2097	Nerul --> Mankhurd
P2098	Sewri --> Sanpada
P2099	Vashi --> Nerul
P2100	Panvel --> Sanpada
P2101	Juinagar --> Cotton Green
P2102	Chunabhatti --> Reay Road
P2103	Seawoods-Darave --> Reay Road
P2104	Mansarovar --> Wadala Road
P2105	Khandeshwar --> Chhatrapati Shivaji Terminus
P2106	Dockyard Road --> Vashi
P2107	Sanpada --> Chhatrapati Shivaji Terminus
P2108	Vashi --> Govandi
P2109	Govandi --> Chhatrapati Shivaji Terminus
P2110	Dockyard Road --> Panvel
P2111	Juinagar --> Panvel
P2112	Dockyard Road --> Kharghar
P2113	Vashi --> Panvel
P2114	Nerul --> Vashi
P2115	Vashi --> Tilak Nagar
P2116	Tilak Nagar --> Kharghar
P2117	Cotton Green --> Panvel
P2118	Chembur --> Chunabhatti
P2119	Sanpada --> Govandi
P2120	Chhatrapati Shivaji Terminus --> Reay Road
P2121	Nerul --> Chembur
P2122	Mansarovar --> Juinagar
P2123	Cotton Green --> CBD Belapur
P2124	Tilak Nagar --> Sanpada
P2125	Tilak Nagar --> Vashi
P2126	Govandi --> Mankhurd
P2127	Guru Tegh Bahadur Nagar --> Chhatrapati Shivaji Terminus
P2128	Mankhurd --> Tilak Nagar
P2129	Chembur --> Wadala Road
P2130	Chembur --> Wadala Road
P2131	Cotton Green --> Sandhurst Road
P2132	Vashi --> Juinagar
P2133	Kurla --> Khandeshwar
P2134	CBD Belapur --> Sewri
P2135	Sandhurst Road --> Chembur
P2136	Khandeshwar --> Tilak Nagar
P2137	Sandhurst Road --> Chunabhatti
P2138	Govandi --> Wadala Road
P2139	Cotton Green --> Panvel
P2140	Wadala Road --> Vashi
P2141	Mankhurd --> Sandhurst Road
P2142	Seawoods-Darave --> Vashi
P2143	Chhatrapati Shivaji Terminus --> Guru Tegh Bahadur Nagar
P2144	Chembur --> Kurla
P2145	Vashi --> Dockyard Road
P2146	Chhatrapati Shivaji Terminus --> Khandeshwar
P2147	Sanpada --> Guru Tegh Bahadur Nagar
P2148	Tilak Nagar --> Panvel
P2149	Tilak Nagar --> Dockyard Road
P2150	Sanpada --> Vashi
P2151	Chhatrapati Shivaji Terminus --> Wadala Road
P2152	Cotton Green --> Panvel
P2153	Chunabhatti --> Govandi
P2154	Tilak Nagar --> Cotton Green
P2155	CBD Belapur --> Nerul
P2156	Wadala Road --> Cotton Green
P2157	Mansarovar --> Sewri
P2158	Panvel --> Govandi
P2159	Reay Road --> Kurla
P2160	Chhatrapati Shivaji Terminus --> Dockyard Road
P2161	Govandi --> Chhatrapati Shivaji Terminus
P2162	Seawoods-Darave --> Kurla
P2163	Kurla --> Chembur
P2164	Kharghar --> Kurla
P2165	Chembur --> Juinagar
P2166	Juinagar --> Seawoods-Darave
P2167	Panvel --> Wadala Road
P2168	Khandeshwar --> Mansarovar
P2169	Kharghar --> Chunabhatti
P2170	Tilak Nagar --> Panvel
P2171	Wadala Road --> Chembur
P2172	Sandhurst Road --> Reay Road
P2173	Seawoods-Darave --> Wadala Road
P2174	Nerul --> Reay Road
P2175	Kurla --> Mankhurd
P2176	Khandeshwar --> CBD Belapur
P2177	Tilak Nagar --> Seawoods-Darave
P2178	Chhatrapati Shivaji Terminus --> Dockyard Road
P2179	Chhatrapati Shivaji Terminus --> Kurla
P2180	Seawoods-Darave --> Mankhurd
P2181	Reay Road --> Wadala Road
P2182	Vashi --> Tilak Nagar
P2183	Dockyard Road --> Mankhurd
P2184	Chembur --> Vashi
P2185	Khandeshwar --> Mankhurd
P2186	Nerul --> CBD Belapur
P2187	Nerul --> Dockyard Road
P2188	CBD Belapur --> Tilak Nagar
P2189	Mankhurd --> Sewri
P2190	Reay Road --> Chunabhatti
P2191	Seawoods-Darave --> Reay Road
P2192	CBD Belapur --> Chunabhatti
P2193	Sanpada --> Wadala Road
P2194	Tilak Nagar --> Govandi
P2195	Nerul --> Chembur
P2196	Seawoods-Darave --> CBD Belapur
P2197	Cotton Green --> Tilak Nagar
P2198	Kurla --> Wadala Road
P2199	Seawoods-Darave --> Mankhurd
P2200	Juinagar --> Panvel
P2201	Kurla --> Mankhurd
P2202	Dockyard Road --> Sanpada
P2203	Chunabhatti --> Cotton Green
P2204	Dockyard Road --> Sanpada
P2205	Guru Tegh Bahadur Nagar --> Sandhurst Road
P2206	Sandhurst Road --> Govandi
P2207	Govandi --> Guru Tegh Bahadur Nagar
P2208	Guru Tegh Bahadur Nagar --> CBD Belapur
P2209	Dockyard Road --> Tilak Nagar
P2210	Reay Road --> Kurla
P2211	Govandi --> Guru Tegh Bahadur Nagar
P2212	Mankhurd --> Sewri
P2213	Chunabhatti --> Panvel
P2214	Kurla --> Sewri
P2215	Vashi --> Chhatrapati Shivaji Terminus
P2216	Khandeshwar --> Tilak Nagar
P2217	Guru Tegh Bahadur Nagar --> Juinagar
P2218	Kharghar --> Nerul
P2219	Chembur --> Sanpada
P2220	Mansarovar --> Vashi
P2221	Seawoods-Darave --> Panvel
P2222	Seawoods-Darave --> Sanpada
P2223	Kharghar --> Chembur
P2224	Wadala Road --> Tilak Nagar
P2225	Mansarovar --> Kurla
P2226	Guru Tegh Bahadur Nagar --> Cotton Green
P2227	Juinagar --> Mansarovar
P2228	Chunabhatti --> Sanpada
P2229	Kharghar --> Cotton Green
P2230	Cotton Green --> Juinagar
P2231	Cotton Green --> Tilak Nagar
P2232	Khandeshwar --> Dockyard Road
P2233	Guru Tegh Bahadur Nagar --> Chunabhatti
P2234	Cotton Green --> Tilak Nagar
P2235	Juinagar --> Sewri
P2236	Kurla --> Juinagar
P2237	Kurla --> Chunabhatti
P2238	Sandhurst Road --> Vashi
P2239	Chhatrapati Shivaji Terminus --> Sanpada
P2240	Guru Tegh Bahadur Nagar --> Chhatrapati Shivaji Terminus
P2241	Kharghar --> Chhatrapati Shivaji Terminus
P2242	CBD Belapur --> Nerul
P2243	Juinagar --> Sandhurst Road
P2244	Sanpada --> Wadala Road
P2245	Panvel --> Vashi
P2246	Seawoods-Darave --> Govandi
P2247	Vashi --> Dockyard Road
P2248	Kharghar --> Panvel
P2249	Govandi --> Kharghar
P2250	Chembur --> Chunabhatti
P2251	Vashi --> Sanpada
P2252	Reay Road --> Vashi
P2253	Cotton Green --> Sandhurst Road
P2254	Guru Tegh Bahadur Nagar --> Seawoods-Darave
P2255	Nerul --> CBD Belapur
P2256	Kurla --> Panvel
P2257	Khandeshwar --> Govandi
P2258	Chhatrapati Shivaji Terminus --> Sanpada
P2259	Kurla --> Kharghar
P2260	Chembur --> Dockyard Road
P2261	Sanpada --> Seawoods-Darave
P2262	Wadala Road --> Nerul
P2263	Tilak Nagar --> Reay Road
P2264	Reay Road --> Wadala Road
P2265	Guru Tegh Bahadur Nagar --> Dockyard Road
P2266	Sanpada --> Nerul
P2267	CBD Belapur --> Tilak Nagar
P2268	Dockyard Road --> Reay Road
P2269	Seawoods-Darave --> Chembur
P2270	Mankhurd --> Reay Road
P2271	Chhatrapati Shivaji Terminus --> Wadala Road
P2272	Khandeshwar --> Chembur
P2273	Juinagar --> Panvel
P2274	Sanpada --> Khandeshwar
P2275	Kurla --> Wadala Road
P2276	Khandeshwar --> Chhatrapati Shivaji Terminus
P2277	Kurla --> Tilak Nagar
P2278	Mankhurd --> Tilak Nagar
P2279	Dockyard Road --> Chembur
P2280	Sandhurst Road --> Tilak Nagar
P2281	Khandeshwar --> Kurla
P2282	Sewri --> Sanpada
P2283	Nerul --> CBD Belapur
P2284	Kharghar --> Sanpada
P2285	Chhatrapati Shivaji Terminus --> Juinagar
P2286	Sandhurst Road --> Chhatrapati Shivaji Terminus
P2287	Cotton Green --> Kurla
P2288	Dockyard Road --> Tilak Nagar
P2289	Chhatrapati Shivaji Terminus --> Mankhurd
P2290	Vashi --> Reay Road
P2291	Sandhurst Road --> Mankhurd
P2292	Govandi --> Panvel
P2293	Mankhurd --> Chunabhatti
P2294	Wadala Road --> CBD Belapur
P2295	Juinagar --> Vashi
P2296	Nerul --> Reay Road
P2297	Mansarovar --> Sandhurst Road
P2298	Nerul --> Tilak Nagar
P2299	Guru Tegh Bahadur Nagar --> Cotton Green
P2300	Dockyard Road --> Chembur
P2301	Sanpada --> Kharghar
P2302	Chhatrapati Shivaji Terminus --> Juinagar
P2303	Mankhurd --> Chunabhatti
P2304	Reay Road --> Guru Tegh Bahadur Nagar
P2305	Tilak Nagar --> Wadala Road
P2306	Chembur --> Mansarovar
P2307	Reay Road --> Guru Tegh Bahadur Nagar
P2308	Cotton Green --> Khandeshwar
P2309	Vashi --> Cotton Green
P2310	Vashi --> Sewri
P2311	Dockyard Road --> Kharghar
P2312	Chunabhatti --> CBD Belapur
P2313	Cotton Green --> Juinagar
P2314	Cotton Green --> Juinagar
P2315	Wadala Road --> Govandi
P2316	Khandeshwar --> CBD Belapur
P2317	Dockyard Road --> Seawoods-Darave
P2318	Wadala Road --> Chhatrapati Shivaji Terminus
P2319	Cotton Green --> Reay Road
P2320	Sewri --> Mankhurd
P2321	Kharghar --> Chunabhatti
P2322	Govandi --> Kharghar
P2323	Panvel --> Nerul
P2324	Sanpada --> Khandeshwar
P2325	Kurla --> Sanpada
P2326	Panvel --> Chunabhatti
P2327	Kurla --> Seawoods-Darave
P2328	Nerul --> Khandeshwar
P2329	Seawoods-Darave --> Mankhurd
P2330	Nerul --> Chembur
P2331	Sandhurst Road --> Wadala Road
P2332	Nerul --> Mankhurd
P2333	Guru Tegh Bahadur Nagar --> Chembur
P2334	Juinagar --> Chembur
P2335	Khandeshwar --> Tilak Nagar
P2336	Vashi --> Sanpada
P2337	Kurla --> Mansarovar
P2338	Govandi --> Chhatrapati Shivaji Terminus
P2339	Khandeshwar --> Juinagar
P2340	Dockyard Road --> Chunabhatti
P2341	Chembur --> Kurla
P2342	Mankhurd --> Tilak Nagar
P2343	Vashi --> Nerul
P2344	Panvel --> Mansarovar
P2345	Govandi --> Sewri
P2346	Guru Tegh Bahadur Nagar --> Vashi
P2347	Dockyard Road --> Seawoods-Darave
P2348	Chunabhatti --> Wadala Road
P2349	Cotton Green --> Kharghar
P2350	Kharghar --> Dockyard Road
P2351	Sanpada --> Panvel
P2352	Reay Road --> Vashi
P2353	Sewri --> Wadala Road
P2354	Chhatrapati Shivaji Terminus --> Vashi
P2355	Cotton Green --> Reay Road
P2356	Sandhurst Road --> Khandeshwar
P2357	Vashi --> Panvel
P2358	Khandeshwar --> Mansarovar
P2359	Guru Tegh Bahadur Nagar --> Mansarovar
P2360	CBD Belapur --> Panvel
P2361	Mansarovar --> Sanpada
P2362	Vashi --> Sewri
P2363	Sewri --> Vashi
P2364	Khandeshwar --> Sandhurst Road
P2365	Reay Road --> Chhatrapati Shivaji Terminus
P2366	Panvel --> Reay Road
P2367	Dockyard Road --> CBD Belapur
P2368	Chunabhatti --> Chhatrapati Shivaji Terminus
P2369	Chunabhatti --> Kharghar
P2370	Sewri --> Cotton Green
P2371	Guru Tegh Bahadur Nagar --> Juinagar
P2372	Dockyard Road --> Cotton Green
P2373	Wadala Road --> Mansarovar
P2374	Mankhurd --> Juinagar
P2375	Tilak Nagar --> Govandi
P2376	Vashi --> Guru Tegh Bahadur Nagar
P2377	Seawoods-Darave --> Sewri
P2378	Nerul --> Wadala Road
P2379	Mankhurd --> Kurla
P2380	Chunabhatti --> Vashi
P2381	Govandi --> Kurla
P2382	Tilak Nagar --> Mankhurd
P2383	Chunabhatti --> Tilak Nagar
P2384	CBD Belapur --> Mankhurd
P2385	Panvel --> Guru Tegh Bahadur Nagar
P2386	Chunabhatti --> Mankhurd
P2387	Govandi --> Mankhurd
P2388	Nerul --> Guru Tegh Bahadur Nagar
P2389	Guru Tegh Bahadur Nagar --> Seawoods-Darave
